name,area,soil,timings,chemicals,medicine
АДЕНОСТИЛЕС РОМБОЛИСТНЫЙ,"Растет хорошо на бурых горно, лесных,  регулярному увлажнению"
АИР ОБЫКНОВЕННЫЙ,"Растет хорошо на илистых и аллювиальных,  "
АЛОЭ ДРЕВОВИДНОЕ,"Может возделываться на Северной Африке,  закрытом грунте почвах,  восковым налетомПредпочитает в поверхностном слое,  каменистой почвы,  "
АЛТЕЙ ЛЕКАРСТВЕННЫЙ,"Растет хорошо на степной и лесостепной зонах,  пространственной изоляцииПредпочитает плодородные почвы,  "
АММИ БОЛЬШАЯ,"Может возделываться на Кубани,  дерново, подзолистых почвах,  Растет хорошо на дерново, подзолистых,  пустынях,  Предпочитает нейтральные почвы,  "
АММИ ЗУБНАЯ,"Может возделываться на Краснодарском крае почвах,  Растет хорошо на тяжелых по механическому составу,  теплу"
АНИС ОБЫКНОВЕННЫЙ,"Растет хорошо на легких,  Предпочитает пчелами почвы,  "
АРАЛИЯ ВЫСОКАЯ,"Может возделываться на Кунашире почвах,  Растет хорошо на Курильских островах,  Шикотане,  Предпочитает 10, 25 см почвы,  "
АРНИКА ГОРНАЯ,почве и влажности воздуха
АРНИКА ШАМИССО,
АРОНИЯ ЧЕРНОПЛОДНАЯ,отзывчивость на удобрения
АСТРАГАЛ ШЕРСТИСТОЦВЕТКОВЫЙ,"Растет хорошо на юге Европейской  России,  Предпочитает засоленные и кислые,  щелочные и нейтральные почвы почвы,  "
БАГУЛЬНИК БОЛОТНЫЙ,"Может возделываться на моховой покров почвах,  Растет хорошо на олиготрофных болотах,  моховой покровПредпочитает моховой покров,  торфяные и торфянистые почвы почвы,  "
БАДАН ТОЛСТОЛИСТНЫЙ,"Может возделываться на холодной воде почвах,  Растет хорошо на горно, лесных и горно, луговых,  влагеПредпочитает мелких корней и сушат почвы,  "
БАРАНЕЦ ОБЫКНОВЕННЫЙ,"Растет хорошо на проточно, увлажненных склонах,  кислые почвы,  переносит затенениеПредпочитает кислые почвы,  "
БАРБАРИС ОБЫКНОВЕННЫЙ,"Растет хорошо на пустынной зоне,  довольно светолюбивПредпочитает нейтральные или слабощелочные почвы,  "
БАРВИНОК МАЛЫЙ,"культураПредпочитает богатые,  не переувлажненные почвы,  "
БАРХАТ АМУРСКИЙ,"Может возделываться на рыхлые плодородные суглинистые почвы почвах,  Растет хорошо на рыхлые плодородные суглинистые почвы,  рыхлые плодородные суглинистые почвыПредпочитает рыхлые плодородные суглинистые,  рыхлые плодородные суглинистые почвы почвы,  "
БЕДРЕНЕЦ КАМНЕЛОМКА,"Растет хорошо на суходольным разнотравным лугам,  "
БЕЗВРЕМЕННИК ВЕЛИКОЛЕПНЫЙ,"Может возделываться на плодородных почвах,  Растет хорошо на плодородных,  плодородных"
БЕЛЕНА ЧЕРНАЯ,
БЕЛОКОПЫТНИК ГИБРИДНЫЙ,"Может возделываться на песчаных и глинистых сырых почвах,  Растет хорошо на песчаных и глинистых сырых,  "
БЕРЁЗА ПОВИСЛАЯ,"Может возделываться на сухих почвах,  Растет хорошо на сухих,  сыроватым местам,  плодородию почвы,  химическому составуПредпочитает сухую почвы,  "
БЕССМЕРТНИК ПЕСЧАНЫЙ,"Растет хорошо на Ногайской степи,  питательными веществами"
БОРЕЦ СЕВЕРНЫЙ,"Может возделываться на бедных почвах,  Растет хорошо на бедных,  высокотравных сообществах,  "
БОЯРЫШНИК КРОВАВО-КРАСНЫЙ,"Может возделываться на песках и известняках почвах,  Растет хорошо на светлых лиственных лесах,  Предпочитает гумусные,  гумусные почвы почвы,  "
БРИОФИЛЛУМ ПЕРИСТЫЙ,"Может возделываться на плодородных супесчаных,  плодородных супесчаных почвах почвах,  "
БРУСНИКА ОБЫКНОВЕННАЯ,"Может возделываться на торфяно, болотных почвах,  Растет хорошо на влажных,  "
БУЗИНА ЧЕРНАЯ,"Растет хорошо на влажных плодородных почвах,  "
ВАЛЕРИАНА ЛЕКАРСТВЕННАЯ,"Может возделываться на черноземных почвах,  Растет хорошо на влажных местах,  недостаточной влажности верхнего слоя почвы"
ВАСИЛЕК БЛАГОСЛОВЕННЫЙ,"Может возделываться на суглинках,  глинистых и лессовых почвах,  Растет хорошо на суглинках,  глинистых и лессовых,  Предпочитает суглинистые почвы,  "
ВАСИЛЕК ПОСЕВНОЙ,"Предпочитает песчаные и супесчаные почвы,  "
ВАХТА ТРЕХЛИСТНАЯ,"Может возделываться на рисовых чеках почвах,  Растет хорошо на облесенных болотах,  торфянистых,  "
ВЕРБЕНА ЛЕКАРСТВЕННАЯ,"хорошего увлажненияПредпочитает песчаной или глинистой,  песчаной или глинистой почвой почвы,  "
ВЗДУТОПЛОДНИК СИБИРСКИЙ,"Предпочитает горные каштановые,  сильно щебнистые,  горные каштановые,  сильно щебнистые почвы почвы,  "
ВИНОГРАД КУЛЬТУРНЫЙ,"Может возделываться на легкие почвы почвах,  Растет хорошо на легкие почвы,  Предпочитает легкие почвы,  "
ВОДОСБОР ОБЫКНОВЕННЫЙ,
ВОЛОДУШКА ЗОЛОТИСТАЯ,"Растет хорошо на открытым светлым лесам,  "
ГАМАМЕЛИС ВИРГИНСКИЙ,"Может возделываться на плодородных и хорошо дренированных почвах,  Предпочитает заболоченных и очень кислых,  кислых почвы,  "
ГАРМАЛА ОБЫКНОВЕННАЯ,"Растет хорошо на подгорных равнинах,  "
ГОРЕЦ ЗМЕИНЫЙ,"Может возделываться на кислым,  торфянистым,  кислым,  торфянистым почвам почвах,  Растет хорошо на кислым,  торфянистым,  кислым,  торфянистымПредпочитает плодородную почвы,  "
ГОРЕЦ ПЕРЕЧНЫЙ,"Может возделываться на легких почвах,  Растет хорошо на легких,  сырых почвах орошаемых полей,  "
ГОРЕЦ ПОЧЕЧУЙНЫЙ,
ГОРЕЦ ПТИЧИЙ,засоление и уплотнение почвы
ГОРЕЧАВКА ЖЁЛТАЯ,"Может возделываться на горно, луговых торфянистых почвах,  украинских Карпат почвах,  Растет хорошо на Карпатах,  Нечерноземной зоны,  перекрёстном опыленииПредпочитает суглинисто, песчаные почвы,  "
ГОРИЦВЕТ ВЕСЕННИЙ,"Может возделываться на засоленных,  пазухах почвах,  Растет хорошо на засоленных,  достаточного освещения и накопления влаги"
ГОРЧИЦА САРЕПТСКАЯ,"Может возделываться на Западной Европы,  малоплодородных почвах,  Растет хорошо на черноземах,  теплу,  цинка и медиПредпочитает солонцеватые почвы,  "
ГРЕЧИХА СЪЕДОБНАЯ,
ГРЫЖНИК ГЛАДКИЙ,
ДЕВЯСИЛ ВЫСОКИЙ,"Может возделываться на среднетяжёлых почвах,  Предпочитает богатые известью почвы,  "
ДЕСМОДИУМ КАНАДСКИЙ,"Может возделываться на черноземных почвах легкого механического состава почвах,  Растет хорошо на черноземных почвах легкого механического состава,  влаге и почвенному плодородию,  побеги с генеративными органами"
ДИОСКОРЕЯ НИППОНСКАЯ,
ДОННИК ЛЕКАРСТВЕННЫЙ,"Может возделываться на солонцеватых почвах,  Растет хорошо на солонцеватых,  "
ДУБ ОБЫКНОВЕННЫЙ,"Может возделываться на щебнистых,  грубоскелетных почвах,  Растет хорошо на щебнистых,  грубоскелетных,  ухода ,  осветленияПредпочитает щебнистых,  грубоскелетных почвы,  "
ДУРМАН ИНДЕЙСКИЙ,"Предпочитает черноземные почвы,  "
ДУРМАН ОБЫКНОВЕННЫЙ,"Предпочитает богатые,  рыхлые и достаточно влажные почвы,  "
ДУРНИШНИК ОБЫКНОВЕННЫЙ,"Предпочитает 15, 20 почвы,  "
ДУШИЦА ОБЫКНОВЕННАЯ,"Предпочитает богатые известью почвы,  "
ДУДНИК ЛЕКАРСТВЕННЫЙ,
ЕЛЬ ОБЫКНОВЕННАЯ,"Растет хорошо на склонах гор,  минеральному составу почвПредпочитает минеральному составу,  минеральному составу почв почвы,  "
ЖЕЛТУШНИК РАСКИДИСТЫЙ,"Может возделываться на России почвах,  "
ЖЕНЬШЕНЬ,"Может возделываться на Возделывание,  Женьшень,  рыхлокаменистой подпочвой почвах,  гумусовом слое,  рыхлокаменистой подпочвойПредпочитает гумусовом слое,  гумусом почвой почвы,  "
ЖОСТЕР СЛАБИТЕЛЬНЫЙ,"Растет хорошо на Алтае,  почвенно, климатическим условиямПредпочитает известковые почвы,  "
ЗАМАНИХА ВЫСОКАЯ,"Может возделываться на ботанических садах почвах,  Растет хорошо на Шкотовском районе,  температуре и влажности местообитаний"
ЗВЕРОБОЙ ПРОДЫРЯВЛЕННЫЙ,"почвы среднего плодородияПредпочитает рассадного и вегетативного посадочного материала,  хронического простатита почвы,  "
ЗЕМЛЯНИКА ЛЕСНАЯ,"Может возделываться на приусадебных и дачных участках почвах,  "
ЗМЕЕГОЛОВНИК МОЛДАВСКИЙ,"Может возделываться на на семена на 20 , ,  черноземных почвах,  Растет хорошо на черноземных,  влаге,  змееголовник молдавскийПредпочитает солонцеватые,  тяжелые заплывающие и солонцеватые почвы,  "
ЗОЛОТАРНИК КАНАДСКИЙ,"Может возделываться на Неченоземной зоне России,  многопольных севооборотах почвах,  "
ЗОЛОТОТЫСЯЧНИК ОБЫКНОВЕННЫЙ,"Может возделываться на солонцеватых почвах,  Растет хорошо на солонцеватых,  Предпочитает суглинистые или супесчаные почвы,  "
ЗЮЗНИК ЕВРОПЕЙСКИЙ,"Может возделываться на Центральной Нечерноземной зоны России почвах,  Предпочитает суглинистые дерново, подзолистые почвы,  "
