Аир обыкновенный
Аир болотный
Алтей лекарственный
Багульник болотный
Бадан толстолистный
Баранец обыкновенный
Бессмертник песчаный
Борец белоустый
Аконит
Валериана лекарственная
Вахта трехлистная
Вздутоплодник сибирский
Володушка золотистая
Гамамелис виргинский
Дурман обыкновенный
Душица обыкновенная
Желтушник раскидистый
Жостер слабительный
Катарантус розовый
Копеечник альпийский
Крушина ольховидная
Лабазник вязолистный
Ламинария японская
Леспедеца Двуцветная
Наперстянка шерстистая
Одуванчик лекарственный
Очиток большой
Пижма обыкновенная
Пион уклоняющийся
Пихта сибирская, белокорая
Подорожник блошиный
Подофилл щитовидный
Полынь горькая
Пустырниксердечный
Родиола розовая
Синюха голубая
Скумпия кожевенная
Смоковница обыкновенная
Солодка голая
Сумах дубильный
Сушеница топяная
Термопсис ланцетный
Тимьян обыкновенный
Тмин обыкновенный
Толокнянка обыкновенная
Тыква обыкновенная
Тысячелистник обыкновенный
Фенхель обыкновенный
Фиалка трехцветная
Хвощь полевой
Хмель обыкновенный
Чабрец ползучий
Чемерица лобеля
Череда трехраздельная
Чистотел большой
Шалфей лекарственны
Шиповник майский
Шлемник байкальский
Щавель конский
Якорцы стелющиеся
