Название субъекта РФ,Типы почв
Алтайский край,"Подбуры тундровые (без разделения), Дерново-подзолистые преимущественно сверхглубокоподзолистые, Дерново-подзолистые (без разделения), Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Бурые лесные кислые оподзоленные (буроземы кислые оподзоленные), Светло-серые лесные, Серые лесные, Темно-серые лесные, Серые лесные неоподзоленные, Боровые пески, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы типичные, Черноземы обыкновенные, Черноземы южные, Черноземы солонцеватые, Черноземы без разделения, преимущественно неполноразвитые, Лугово-черноземные, Лугово-черноземные солонцеватые и солончаковатые, Темно-каштановые, Каштановые, Светло-каштановые, Лугово-каштановые солонцеватые и солончаковатые, Торфяные болотные переходные, Торфяные болотные низинные, Лугово-болотные, Лугово-болотные солончаковатые и солонцеватые, Луговые солонцеватые и солончаковатые, Луговые (без разделения), Солоди, Солонцы (автоморфные), Солонцы луговые (гидроморфные), Солончаки типичные, Солончаки луговые, Пойменные слабокислые и нейтральные, Пойменные заболоченные, Пойменные луговые, Горно-луговые дерновые, Горно-луговые черноземовидные, Горные лесные черноземовидные"
Амурская область,"Подбуры тундровые (без разделения), Таежные глеевые гумусово-перегнойные (глееземы слабоглеевые гумусово-перегнойные таежные), Таежные глеевые торфянисто-перегнойные (глееземы торфянисто-перегнойные таежные), Таежные торфянисто-перегнойные высокогумусные неоглеенные, Дерново-подзолистые слабоненасыщенные и вторично-насыщенные, Дерново-палево-подзолистые и подзолисто-буроземные глубокоглееватые и глеевые, Подзолы иллювиально-гумусовые (подзолы иллювиально-многогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы сухоторфянистые, Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Подбуры таежные (без разделения), Подбуры сухоторфянистые, Подбуры охристые, Буро-таежные иллювиально-гумусовые (буроземы грубогумусовые иллювиально-гумусовые), Буро-таежные (буроземы грубогумусовые), Буро-таежные глеевые (буроземы грубогумусовые глеевые), Дерново-таежные насыщенные (дерново-буроземные слабоненасыщенные и насыщенные), Дерново-таежные глееватые и глеевые (дерново-буроземные глееватые и глеевые), Бурые лесные кислые оподзоленные (буроземы кислые оподзоленные), Бурые лесные слабоненасыщенные (буроземы слабоненасыщенные), Бурые лесные слабоненасыщенные оподзоленные (буроземы слабоненасыщенные оподзоленные), Бурые лесные глееватые и глеевые (буроземы глееватые и глеевые), Лугово-черноземовидные ""Амурских прерий"", Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Торфяные болотные (без разделения), Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Лугово-болотные, Луговые дифференцированные (в том числе осолоделые), Луговые (без разделения), Пойменные кислые, Пойменные заболоченные, Пойменные луговые, Горные примитивные"
Архангельская область,"Таежные глеевые и глееватые недифференцированные (глееземы таежные), Таежные глеево-дифференцированные (глееземы и слабоглеевые дифференцированные, в том числе оподзоленные таежные), Глее-подзолистые, Глее-подзолистые со вторым осветленным горизонтом, Подзолистые, преимущественно мелкоподзолистые, Подзолистые, преимущественно неглубокоподзолистые, Подзолистые (без разделения), Подзолистые со вторым осветленным горизонтом, Подзолистые остаточно-карбонатные, Подзолистые поверхностно-глееватые, Торфяно- и торфянисто-подзолисто-глеевые, Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые остаточно-карбонатные, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-гумусовые (подзолы иллювиально-многогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы со вторым осветленным горизонтом (контактно-глееватые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Подбуры темные таежные, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Пойменные кислые, Пойменные заболоченные, Пойменные луговые, Маршевые засоленные и солонцеватые"
Астраханская область,"Бурые, Бурые солонцеватые и солончаковатые, Лугово-болотные солончаковатые и солонцеватые, Луговые (без разделения), Солоди, Солончаки соровые, Пойменные луговые, Маршевые засоленные и солонцеватые"
Белгородская область,"Серые лесные, Темно-серые лесные, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы типичные, Черноземы обыкновенные, Черноземы без разделения, преимущественно неполноразвитые, Лугово-черноземные, Пойменные слабокислые и нейтральные"
Брянская область,"Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые (без разделения), Дерново-подзолистые со вторым осветленным горизонтом, Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Дерново-подзолистые иллювиально-железистые, Дерново-палево-подзолистые и подзолисто-буроземные глубокоглееватые и глеевые, Дерново-подзолисто-глеевые, Светло-серые лесные, Серые лесные, Темно-серые лесные, Торфяные болотные низинные, Пойменные кислые, Пойменные слабокислые и нейтральные"
Владимирская область,"Торфяно- и торфянисто-подзолисто-глеевые, Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые (без разделения), Дерново-подзолистые со вторым осветленным горизонтом, Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Дерново-подзолистые глубокоглееватые и глееватые (в том числе поверхностно-глееватые) преимущественно глубокие, Дерново-подзолистые иллювиально-железистые, Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Светло-серые лесные, Серые лесные, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Пойменные слабокислые и нейтральные"
Волгоградская область,"Черноземы типичные, Черноземы обыкновенные, Черноземы южные, Черноземы южные и обыкновенные мицелярно-карбонатные (черноземы глубокие карбонатные), Черноземы остаточно-карбонатные, Черноземы солонцеватые, Черноземы без разделения, преимущественно неполноразвитые, Серопески, Лугово-черноземные, Темно-каштановые, Каштановые, Светло-каштановые, Темно-каштановые остаточно-карбонатные и карбонатные, Темно-каштановые солонцеватые и солончаковатые, Каштановые солонцеватые и солончаковатые, Светло-каштановые солонцеватые и солончаковатые, Каштановые неполноразвитые, Бурые солонцеватые и солончаковатые, Солонцы (автоморфные), Солонцы луговые (гидроморфные), Пойменные слабокислые и нейтральные, Пойменные засоленные, Пойменные луговые"
Вологодская область,"Таежные глеево-дифференцированные (глееземы и слабоглеевые дифференцированные, в том числе оподзоленные таежные), Подзолистые, преимущественно мелкоподзолистые, Подзолистые, преимущественно неглубокоподзолистые, Подзолистые со вторым осветленным горизонтом, Подзолистые поверхностно-глееватые, Торфяно- и торфянисто-подзолисто-глеевые, Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые (без разделения), Дерново-подзолистые со вторым осветленным горизонтом, Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Дерново-подзолистые глубокоглееватые и глееватые (в том числе поверхностно-глееватые) преимущественно глубокие, Дерново-подзолистые остаточно-карбонатные, Дерново-подзолистые иллювиально-железистые, Дерново-подзолисто-глеевые, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Дерново-карбонатные (включая выщелоченные и оподзоленные), Дерново-глеевые и перегнойно-глеевые, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Пойменные кислые"
Воронежская область,"Дерново-подзолистые иллювиально-железистые, Серые лесные, Боровые пески, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы типичные, Черноземы обыкновенные, Черноземы южные, Черноземы остаточно-карбонатные, Черноземы без разделения, преимущественно неполноразвитые, Серопески, Лугово-черноземные, Пойменные слабокислые и нейтральные"
